LAST SEEN   TYPE      REASON                    OBJECT                                             MESSAGE
38m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-w6l59           Startup probe failed: Get "http://10.120.1.21:3001/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
35m         Normal    Killing                   pod/inventory-controller-7b8cb549c-w6l59           Stopping container inventory-controller
20m         Normal    Scheduled                 pod/inventory-controller-7b8cb549c-wh66d           Successfully assigned default/inventory-controller-7b8cb549c-wh66d to gke-brewstand-prod-default-pool-3be66a7f-k8r3
20m         Normal    Pulling                   pod/inventory-controller-7b8cb549c-wh66d           Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest"
20m         Normal    Pulled                    pod/inventory-controller-7b8cb549c-wh66d           Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest" in 318ms (318ms including waiting)
20m         Normal    Created                   pod/inventory-controller-7b8cb549c-wh66d           Created container inventory-controller
20m         Normal    Started                   pod/inventory-controller-7b8cb549c-wh66d           Started container inventory-controller
20m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-wh66d           Startup probe failed: Get "http://10.120.1.28:3001/": dial tcp 10.120.1.28:3001: connect: connection refused
20m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-wh66d           Startup probe failed: Get "http://10.120.1.28:3001/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
10s         Normal    Killing                   pod/inventory-controller-7b8cb549c-wh66d           Stopping container inventory-controller
34m         Normal    Scheduled                 pod/inventory-controller-7b8cb549c-wt7dg           Successfully assigned default/inventory-controller-7b8cb549c-wt7dg to gke-brewstand-prod-default-pool-3be66a7f-k8r3
34m         Normal    Pulling                   pod/inventory-controller-7b8cb549c-wt7dg           Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest"
34m         Normal    Pulled                    pod/inventory-controller-7b8cb549c-wt7dg           Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest" in 325ms (325ms including waiting)
34m         Normal    Created                   pod/inventory-controller-7b8cb549c-wt7dg           Created container inventory-controller
34m         Normal    Started                   pod/inventory-controller-7b8cb549c-wt7dg           Started container inventory-controller
34m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-wt7dg           Startup probe failed: Get "http://10.120.1.23:3001/": dial tcp 10.120.1.23:3001: connect: connection refused
34m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-wt7dg           Startup probe failed: Get "http://10.120.1.23:3001/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
20m         Normal    Killing                   pod/inventory-controller-7b8cb549c-wt7dg           Stopping container inventory-controller
58m         Normal    SuccessfulDelete          replicaset/inventory-controller-7b8cb549c          Deleted pod: inventory-controller-7b8cb549c-hlkkc
56m         Normal    SuccessfulCreate          replicaset/inventory-controller-7b8cb549c          Created pod: inventory-controller-7b8cb549c-jdtm7
50m         Normal    SuccessfulDelete          replicaset/inventory-controller-7b8cb549c          Deleted pod: inventory-controller-7b8cb549c-jdtm7
50m         Normal    SuccessfulCreate          replicaset/inventory-controller-7b8cb549c          Created pod: inventory-controller-7b8cb549c-pwdg7
39m         Normal    SuccessfulDelete          replicaset/inventory-controller-7b8cb549c          Deleted pod: inventory-controller-7b8cb549c-pwdg7
38m         Normal    SuccessfulCreate          replicaset/inventory-controller-7b8cb549c          Created pod: inventory-controller-7b8cb549c-w6l59
35m         Normal    SuccessfulDelete          replicaset/inventory-controller-7b8cb549c          Deleted pod: inventory-controller-7b8cb549c-w6l59
34m         Normal    SuccessfulCreate          replicaset/inventory-controller-7b8cb549c          Created pod: inventory-controller-7b8cb549c-wt7dg
20m         Normal    SuccessfulDelete          replicaset/inventory-controller-7b8cb549c          Deleted pod: inventory-controller-7b8cb549c-wt7dg
20m         Normal    SuccessfulCreate          replicaset/inventory-controller-7b8cb549c          Created pod: inventory-controller-7b8cb549c-wh66d
10s         Normal    SuccessfulDelete          replicaset/inventory-controller-7b8cb549c          Deleted pod: inventory-controller-7b8cb549c-wh66d
20m         Normal    SuccessfulRescale         horizontalpodautoscaler/inventory-controller-hpa   New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/inventory-controller-hpa   No recommendation
20m         Normal    ScalingReplicaSet         deployment/inventory-controller                    Scaled up replica set inventory-controller-7b8cb549c to 2 from 1
10s         Normal    ScalingReplicaSet         deployment/inventory-controller                    Scaled down replica set inventory-controller-7b8cb549c to 1 from 2
22m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/inventory-repo-hpa         did not receive metrics for targetted pods (pods might be unready)
2m22s       Warning   FailedGetResourceMetric   horizontalpodautoscaler/inventory-repo-hpa         No recommendation
7s          Warning   FailedScheduling          pod/inventory-repository-64f95dc49d-wddzv          0/8 nodes are available: 8 Insufficient cpu. preemption: 0/8 nodes are available: 8 No preemption victims found for incoming pod..
9s          Normal    NotTriggerScaleUp         pod/inventory-repository-64f95dc49d-wddzv          pod didn't trigger scale-up:
11s         Normal    SuccessfulCreate          replicaset/inventory-repository-64f95dc49d         Created pod: inventory-repository-64f95dc49d-wddzv
49m         Normal    Scheduled                 pod/inventory-repository-84bfd85b99-7twbr          Successfully assigned default/inventory-repository-84bfd85b99-7twbr to gke-brewstand-prod-default-pool-3be66a7f-k8r3
40m         Warning   FailedMount               pod/inventory-repository-84bfd85b99-7twbr          MountVolume.SetUp failed for volume "mysecret" : rpc error: code = Unknown desc = failed to mount secrets store objects for pod default/inventory-repository-84bfd85b99-7twbr, err: error connecting to provider "gcp": provider not found: provider "gcp"
40m         Warning   FileSystemResizeFailed    pod/inventory-repository-84bfd85b99-7twbr          MountVolume.NodeExpandVolume failed for volume "brewstand-dataset-pv" requested read-only file system
4m57s       Warning   FailedScheduling          pod/inventory-repository-84bfd85b99-8bmgs          0/8 nodes are available: 8 Insufficient cpu. preemption: 0/8 nodes are available: 8 No preemption victims found for incoming pod..
17s         Normal    NotTriggerScaleUp         pod/inventory-repository-84bfd85b99-8bmgs          pod didn't trigger scale-up:
11s         Warning   FailedScheduling          pod/inventory-repository-84bfd85b99-8bmgs          skip schedule deleting pod: default/inventory-repository-84bfd85b99-8bmgs
20m         Warning   FailedScheduling          pod/inventory-repository-84bfd85b99-bbrbq          0/8 nodes are available: 8 Insufficient cpu. preemption: 0/8 nodes are available: 8 No preemption victims found for incoming pod..
23m         Normal    NotTriggerScaleUp         pod/inventory-repository-84bfd85b99-bbrbq          pod didn't trigger scale-up:
58m         Warning   FailedMount               pod/inventory-repository-84bfd85b99-hmtnz          MountVolume.SetUp failed for volume "mysecret" : rpc error: code = Unknown desc = failed to mount secrets store objects for pod default/inventory-repository-84bfd85b99-hmtnz, err: error connecting to provider "gke": provider not found: provider "gke"
58m         Warning   FileSystemResizeFailed    pod/inventory-repository-84bfd85b99-hmtnz          MountVolume.NodeExpandVolume failed for volume "brewstand-dataset-pv" requested read-only file system
54m         Warning   FailedMount               pod/inventory-repository-84bfd85b99-kwztq          MountVolume.SetUp failed for volume "mysecret" : rpc error: code = Unknown desc = failed to mount secrets store objects for pod default/inventory-repository-84bfd85b99-kwztq, err: error connecting to provider "gke": provider not found: provider "gke"
30m         Warning   FileSystemResizeFailed    pod/inventory-repository-84bfd85b99-kwztq          MountVolume.NodeExpandVolume failed for volume "brewstand-dataset-pv" requested read-only file system
40m         Warning   FailedMount               pod/inventory-repository-84bfd85b99-kwztq          MountVolume.SetUp failed for volume "mysecret" : rpc error: code = Unknown desc = failed to mount secrets store objects for pod default/inventory-repository-84bfd85b99-kwztq, err: error connecting to provider "gcp": provider not found: provider "gcp"
38m         Normal    Pulling                   pod/inventory-repository-84bfd85b99-kwztq          Pulling image "gke.gcr.io/gcs-fuse-csi-driver-sidecar-mounter:v0.1.14-gke.2@sha256:c83609ecf50d05a141167b8c6cf4dfe14ff07f01cd96a9790921db6748d40902"
42s         Normal    Pulling                   pod/inventory-repository-84bfd85b99-kwztq          Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_repository:latest"
5m48s       Warning   BackOff                   pod/inventory-repository-84bfd85b99-kwztq          Back-off restarting failed container inventory-repository in pod inventory-repository-84bfd85b99-kwztq_default(e5907b6c-7f58-45e3-a220-29e6103c1b48)
58m         Warning   FailedScheduling          pod/inventory-repository-84bfd85b99-vkrwb          0/8 nodes are available: 8 Insufficient cpu. preemption: 0/8 nodes are available: 8 No preemption victims found for incoming pod..
58m         Normal    Scheduled                 pod/inventory-repository-84bfd85b99-vkrwb          Successfully assigned default/inventory-repository-84bfd85b99-vkrwb to gke-brewstand-prod-default-pool-3be66a7f-k8r3
54m         Warning   FailedMount               pod/inventory-repository-84bfd85b99-vkrwb          MountVolume.SetUp failed for volume "mysecret" : rpc error: code = Unknown desc = failed to mount secrets store objects for pod default/inventory-repository-84bfd85b99-vkrwb, err: error connecting to provider "gke": provider not found: provider "gke"
51m         Warning   FileSystemResizeFailed    pod/inventory-repository-84bfd85b99-vkrwb          MountVolume.NodeExpandVolume failed for volume "brewstand-dataset-pv" requested read-only file system
51m         Warning   FailedMount               pod/inventory-repository-84bfd85b99-vkrwb          MountVolume.SetUp failed for volume "mysecret" : rpc error: code = Unknown desc = failed to mount secrets store objects for pod default/inventory-repository-84bfd85b99-vkrwb, err: error connecting to provider "gcp": provider not found: provider "gcp"
37m         Warning   FailedScheduling          pod/inventory-repository-84bfd85b99-w9nnw          0/8 nodes are available: 8 Insufficient cpu. preemption: 0/8 nodes are available: 8 No preemption victims found for incoming pod..
37m         Normal    NotTriggerScaleUp         pod/inventory-repository-84bfd85b99-w9nnw          pod didn't trigger scale-up:
35m         Warning   FailedScheduling          pod/inventory-repository-84bfd85b99-w9nnw          skip schedule deleting pod: default/inventory-repository-84bfd85b99-w9nnw
58m         Normal    SuccessfulDelete          replicaset/inventory-repository-84bfd85b99         Deleted pod: inventory-repository-84bfd85b99-hmtnz
58m         Normal    SuccessfulCreate          replicaset/inventory-repository-84bfd85b99         Created pod: inventory-repository-84bfd85b99-vkrwb
50m         Normal    SuccessfulDelete          replicaset/inventory-repository-84bfd85b99         Deleted pod: inventory-repository-84bfd85b99-vkrwb
49m         Normal    SuccessfulCreate          replicaset/inventory-repository-84bfd85b99         Created pod: inventory-repository-84bfd85b99-7twbr
39m         Normal    SuccessfulDelete          replicaset/inventory-repository-84bfd85b99         Deleted pod: inventory-repository-84bfd85b99-7twbr
37m         Normal    SuccessfulCreate          replicaset/inventory-repository-84bfd85b99         Created pod: inventory-repository-84bfd85b99-w9nnw
35m         Normal    SuccessfulDelete          replicaset/inventory-repository-84bfd85b99         Deleted pod: inventory-repository-84bfd85b99-w9nnw
33m         Normal    SuccessfulCreate          replicaset/inventory-repository-84bfd85b99         Created pod: inventory-repository-84bfd85b99-bbrbq
20m         Normal    SuccessfulDelete          replicaset/inventory-repository-84bfd85b99         Deleted pod: inventory-repository-84bfd85b99-bbrbq
20m         Normal    SuccessfulCreate          replicaset/inventory-repository-84bfd85b99         Created pod: inventory-repository-84bfd85b99-8bmgs
11s         Normal    SuccessfulDelete          replicaset/inventory-repository-84bfd85b99         Deleted pod: inventory-repository-84bfd85b99-8bmgs
20m         Normal    ScalingReplicaSet         deployment/inventory-repository                    Scaled up replica set inventory-repository-84bfd85b99 to 2 from 1
11s         Normal    ScalingReplicaSet         deployment/inventory-repository                    Scaled down replica set inventory-repository-84bfd85b99 to 1 from 2
11s         Normal    ScalingReplicaSet         deployment/inventory-repository                    Scaled up replica set inventory-repository-64f95dc49d to 1
58m         Normal    Scheduled                 pod/inventory-service-597f755b6d-f2h7d             Successfully assigned default/inventory-service-597f755b6d-f2h7d to gke-brewstand-prod-default-pool-3be66a7f-h8x6
58m         Normal    Pulling                   pod/inventory-service-597f755b6d-f2h7d             Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest"
58m         Normal    Pulled                    pod/inventory-service-597f755b6d-f2h7d             Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest" in 281ms (282ms including waiting)
58m         Normal    Created                   pod/inventory-service-597f755b6d-f2h7d             Created container inventory-service
58m         Normal    Started                   pod/inventory-service-597f755b6d-f2h7d             Started container inventory-service
50m         Normal    Killing                   pod/inventory-service-597f755b6d-f2h7d             Stopping container inventory-service
58m         Normal    Killing                   pod/inventory-service-597f755b6d-jqt9g             Stopping container inventory-service
49m         Normal    Scheduled                 pod/inventory-service-597f755b6d-lgp7g             Successfully assigned default/inventory-service-597f755b6d-lgp7g to gke-brewstand-prod-default-pool-3be66a7f-k8r3
49m         Normal    Pulling                   pod/inventory-service-597f755b6d-lgp7g             Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest"
49m         Normal    Pulled                    pod/inventory-service-597f755b6d-lgp7g             Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest" in 2.728s (2.728s including waiting)
49m         Normal    Created                   pod/inventory-service-597f755b6d-lgp7g             Created container inventory-service
49m         Normal    Started                   pod/inventory-service-597f755b6d-lgp7g             Started container inventory-service
39m         Normal    Killing                   pod/inventory-service-597f755b6d-lgp7g             Stopping container inventory-service
18m         Normal    Scheduled                 pod/inventory-service-597f755b6d-q5ktw             Successfully assigned default/inventory-service-597f755b6d-q5ktw to gke-brewstand-prod-default-pool-3be66a7f-h8x6
18m         Normal    Pulling                   pod/inventory-service-597f755b6d-q5ktw             Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest"
18m         Normal    Pulled                    pod/inventory-service-597f755b6d-q5ktw             Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest" in 406ms (406ms including waiting)
18m         Normal    Created                   pod/inventory-service-597f755b6d-q5ktw             Created container inventory-service
18m         Normal    Started                   pod/inventory-service-597f755b6d-q5ktw             Started container inventory-service
11s         Normal    Killing                   pod/inventory-service-597f755b6d-q5ktw             Stopping container inventory-service
33m         Normal    Scheduled                 pod/inventory-service-597f755b6d-q67z2             Successfully assigned default/inventory-service-597f755b6d-q67z2 to gke-brewstand-prod-default-pool-3be66a7f-h8x6
33m         Normal    Pulling                   pod/inventory-service-597f755b6d-q67z2             Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest"
33m         Normal    Pulled                    pod/inventory-service-597f755b6d-q67z2             Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest" in 384ms (384ms including waiting)
33m         Normal    Created                   pod/inventory-service-597f755b6d-q67z2             Created container inventory-service
33m         Normal    Started                   pod/inventory-service-597f755b6d-q67z2             Started container inventory-service
20m         Normal    Killing                   pod/inventory-service-597f755b6d-q67z2             Stopping container inventory-service
38m         Normal    Scheduled                 pod/inventory-service-597f755b6d-zcldh             Successfully assigned default/inventory-service-597f755b6d-zcldh to gke-brewstand-prod-default-pool-3be66a7f-k8r3
38m         Normal    Pulling                   pod/inventory-service-597f755b6d-zcldh             Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest"
38m         Normal    Pulled                    pod/inventory-service-597f755b6d-zcldh             Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_service:latest" in 329ms (329ms including waiting)
38m         Normal    Created                   pod/inventory-service-597f755b6d-zcldh             Created container inventory-service
38m         Normal    Started                   pod/inventory-service-597f755b6d-zcldh             Started container inventory-service
35m         Normal    Killing                   pod/inventory-service-597f755b6d-zcldh             Stopping container inventory-service
58m         Normal    SuccessfulDelete          replicaset/inventory-service-597f755b6d            Deleted pod: inventory-service-597f755b6d-jqt9g
58m         Normal    SuccessfulCreate          replicaset/inventory-service-597f755b6d            Created pod: inventory-service-597f755b6d-f2h7d
50m         Normal    SuccessfulDelete          replicaset/inventory-service-597f755b6d            Deleted pod: inventory-service-597f755b6d-f2h7d
49m         Normal    SuccessfulCreate          replicaset/inventory-service-597f755b6d            Created pod: inventory-service-597f755b6d-lgp7g
39m         Normal    SuccessfulDelete          replicaset/inventory-service-597f755b6d            Deleted pod: inventory-service-597f755b6d-lgp7g
38m         Normal    SuccessfulCreate          replicaset/inventory-service-597f755b6d            Created pod: inventory-service-597f755b6d-zcldh
35m         Normal    SuccessfulDelete          replicaset/inventory-service-597f755b6d            Deleted pod: inventory-service-597f755b6d-zcldh
33m         Normal    SuccessfulCreate          replicaset/inventory-service-597f755b6d            Created pod: inventory-service-597f755b6d-q67z2
20m         Normal    SuccessfulDelete          replicaset/inventory-service-597f755b6d            Deleted pod: inventory-service-597f755b6d-q67z2
18m         Normal    SuccessfulCreate          replicaset/inventory-service-597f755b6d            Created pod: inventory-service-597f755b6d-q5ktw
11s         Normal    SuccessfulDelete          replicaset/inventory-service-597f755b6d            Deleted pod: inventory-service-597f755b6d-q5ktw
18m         Normal    SuccessfulRescale         horizontalpodautoscaler/inventory-service-hpa      New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/inventory-service-hpa      No recommendation
18m         Normal    ScalingReplicaSet         deployment/inventory-service                       Scaled up replica set inventory-service-597f755b6d to 2 from 1
11s         Normal    ScalingReplicaSet         deployment/inventory-service                       Scaled down replica set inventory-service-597f755b6d to 1 from 2
56m         Normal    Sync                      ingress/main-ingress                               Scheduled for sync
56m         Normal    Sync                      ingress/oauth2-proxy                               Scheduled for sync
32m         Normal    Scheduled                 pod/order-controller-7d947d4d6d-6d9hq              Successfully assigned default/order-controller-7d947d4d6d-6d9hq to gke-brewstand-prod-default-pool-3be66a7f-b97d
32m         Normal    Pulling                   pod/order-controller-7d947d4d6d-6d9hq              Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_controller:latest"
32m         Normal    Pulled                    pod/order-controller-7d947d4d6d-6d9hq              Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_controller:latest" in 383ms (383ms including waiting)
32m         Normal    Created                   pod/order-controller-7d947d4d6d-6d9hq              Created container order-controller
32m         Normal    Started                   pod/order-controller-7d947d4d6d-6d9hq              Started container order-controller
32m         Warning   Unhealthy                 pod/order-controller-7d947d4d6d-6d9hq              Startup probe failed: Get "http://10.120.0.28:3004/": dial tcp 10.120.0.28:3004: connect: connection refused
32m         Warning   Unhealthy                 pod/order-controller-7d947d4d6d-6d9hq              Startup probe failed: Get "http://10.120.0.28:3004/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
58m         Normal    Killing                   pod/order-controller-7d947d4d6d-gglvg              Stopping container order-controller
58m         Warning   Unhealthy                 pod/order-controller-7d947d4d6d-gglvg              Readiness probe failed: Get "http://10.120.2.14:3004/": dial tcp 10.120.2.14:3004: connect: connection refused
57m         Normal    Scheduled                 pod/order-controller-7d947d4d6d-h45cg              Successfully assigned default/order-controller-7d947d4d6d-h45cg to gke-brewstand-prod-default-pool-3be66a7f-kp5s
57m         Normal    Pulling                   pod/order-controller-7d947d4d6d-h45cg              Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_controller:latest"
57m         Normal    Pulled                    pod/order-controller-7d947d4d6d-h45cg              Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_controller:latest" in 376ms (376ms including waiting)
57m         Normal    Created                   pod/order-controller-7d947d4d6d-h45cg              Created container order-controller
57m         Normal    Started                   pod/order-controller-7d947d4d6d-h45cg              Started container order-controller
57m         Warning   Unhealthy                 pod/order-controller-7d947d4d6d-h45cg              Startup probe failed: Get "http://10.120.2.24:3004/": dial tcp 10.120.2.24:3004: connect: connection refused
57m         Warning   Unhealthy                 pod/order-controller-7d947d4d6d-h45cg              Startup probe failed: Get "http://10.120.2.24:3004/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
35m         Normal    Killing                   pod/order-controller-7d947d4d6d-h45cg              Stopping container order-controller
58m         Normal    SuccessfulDelete          replicaset/order-controller-7d947d4d6d             Deleted pod: order-controller-7d947d4d6d-gglvg
57m         Normal    SuccessfulCreate          replicaset/order-controller-7d947d4d6d             Created pod: order-controller-7d947d4d6d-h45cg
35m         Normal    SuccessfulDelete          replicaset/order-controller-7d947d4d6d             Deleted pod: order-controller-7d947d4d6d-h45cg
32m         Normal    SuccessfulCreate          replicaset/order-controller-7d947d4d6d             Created pod: order-controller-7d947d4d6d-6d9hq
32m         Normal    SuccessfulRescale         horizontalpodautoscaler/order-controller-hpa       New size: 2; reason: cpu resource utilization (percentage of request) above target
59m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/order-controller-hpa       No recommendation
32m         Normal    ScalingReplicaSet         deployment/order-controller                        Scaled up replica set order-controller-7d947d4d6d to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/order-controller                        Scaled down replica set order-controller-7d947d4d6d to 1 from 2
34m         Normal    Scheduled                 pod/order-repository-8457dd7bbf-76mbp              Successfully assigned default/order-repository-8457dd7bbf-76mbp to gke-brewstand-prod-default-pool-3be66a7f-kp5s
34m         Normal    Pulling                   pod/order-repository-8457dd7bbf-76mbp              Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_repository:latest"
34m         Normal    Pulled                    pod/order-repository-8457dd7bbf-76mbp              Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_repository:latest" in 394ms (394ms including waiting)
34m         Normal    Created                   pod/order-repository-8457dd7bbf-76mbp              Created container order-repository
34m         Normal    Started                   pod/order-repository-8457dd7bbf-76mbp              Started container order-repository
34m         Warning   Unhealthy                 pod/order-repository-8457dd7bbf-76mbp              Startup probe failed: dial tcp 10.120.2.30:50064: connect: connection refused
35m         Normal    Killing                   pod/order-repository-8457dd7bbf-cb4s4              Stopping container order-repository
57m         Normal    Scheduled                 pod/order-repository-8457dd7bbf-l2pgb              Successfully assigned default/order-repository-8457dd7bbf-l2pgb to gke-brewstand-prod-default-pool-3be66a7f-h8x6
57m         Normal    Pulling                   pod/order-repository-8457dd7bbf-l2pgb              Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_repository:latest"
57m         Normal    Pulled                    pod/order-repository-8457dd7bbf-l2pgb              Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_repository:latest" in 342ms (342ms including waiting)
57m         Normal    Created                   pod/order-repository-8457dd7bbf-l2pgb              Created container order-repository
57m         Normal    Started                   pod/order-repository-8457dd7bbf-l2pgb              Started container order-repository
57m         Warning   Unhealthy                 pod/order-repository-8457dd7bbf-l2pgb              Startup probe failed: dial tcp 10.120.6.26:50064: connect: connection refused
58m         Normal    Killing                   pod/order-repository-8457dd7bbf-rxx6x              Stopping container order-repository
58m         Normal    SuccessfulDelete          replicaset/order-repository-8457dd7bbf             Deleted pod: order-repository-8457dd7bbf-rxx6x
57m         Normal    SuccessfulCreate          replicaset/order-repository-8457dd7bbf             Created pod: order-repository-8457dd7bbf-l2pgb
35m         Normal    SuccessfulDelete          replicaset/order-repository-8457dd7bbf             Deleted pod: order-repository-8457dd7bbf-cb4s4
34m         Normal    SuccessfulCreate          replicaset/order-repository-8457dd7bbf             Created pod: order-repository-8457dd7bbf-76mbp
34m         Normal    SuccessfulRescale         horizontalpodautoscaler/order-repository-hpa       New size: 2; reason: cpu resource utilization (percentage of request) above target
